epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.587,1.65696,2.45804,1.42068,0.40246,0.37006,0.2841,0.12616,2.06739,3.44859,1.78712,0.00332168,0.00332168,0.0701049
2,191.182,1.58043,1.57371,1.3637,0.6846,0.68742,0.75511,0.34787,1.80847,1.71505,1.42237,0.00661445,0.00661445,0.0400643
3,268.239,1.5364,1.3709,1.31593,0.78379,0.80139,0.87407,0.4977,1.50652,1.27715,1.2719,0.00974636,0.00974636,0.00986291
4,343.525,1.49219,1.22218,1.28787,0.84516,0.84989,0.93763,0.52556,1.4979,0.96945,1.25812,0.00946048,0.00946048,0.00946048
5,419.313,1.46829,1.16308,1.28041,0.92134,0.92268,0.96035,0.58258,1.41521,0.74003,1.1977,0.00905463,0.00905463,0.00905463
6,495.389,1.43004,1.04788,1.2467,0.90146,0.95694,0.97256,0.57438,1.42931,0.74638,1.20593,0.00855018,0.00855018,0.00855018
7,570.381,1.4165,1.0223,1.24584,0.94362,0.96143,0.98037,0.61799,1.32869,0.65219,1.18117,0.00795954,0.00795954,0.00795954
8,645.333,1.39948,0.97687,1.23439,0.96907,0.96666,0.98179,0.54503,1.56034,0.68534,1.23987,0.00729725,0.00729725,0.00729725
9,720.159,1.38354,0.9254,1.22408,0.96601,0.97267,0.98565,0.63279,1.30008,0.60234,1.16623,0.00657963,0.00657963,0.00657963
10,795.541,1.35879,0.89739,1.21272,0.95526,0.97679,0.98251,0.56346,1.49225,0.62267,1.20973,0.00582435,0.00582435,0.00582435
11,871.204,1.36283,0.86569,1.21736,0.95727,0.98335,0.98323,0.54583,1.56927,0.62758,1.23066,0.00505,0.00505,0.00505
12,946.455,1.33266,0.84517,1.20032,0.96312,0.98365,0.98657,0.60776,1.40109,0.58313,1.18199,0.00427565,0.00427565,0.00427565
13,1023.62,1.31525,0.8339,1.19288,0.97262,0.98963,0.98633,0.61912,1.34227,0.55856,1.15999,0.00352037,0.00352037,0.00352037
14,1098.88,1.29915,0.7991,1.18324,0.97683,0.98798,0.98802,0.6007,1.41091,0.56051,1.17617,0.00280275,0.00280275,0.00280275
15,1174.55,1.28661,0.77089,1.1783,0.97351,0.9901,0.98642,0.61971,1.38488,0.53488,1.16383,0.00214046,0.00214046,0.00214046
16,1252,1.22673,0.56363,1.17545,0.97822,0.98884,0.98725,0.63204,1.34314,0.51001,1.15786,0.00154982,0.00154982,0.00154982
17,1325.13,1.21164,0.54391,1.16842,0.98136,0.9911,0.9874,0.63281,1.33959,0.51129,1.14855,0.00104537,0.00104537,0.00104537
18,1398.14,1.18777,0.52195,1.15595,0.98015,0.99184,0.98778,0.64656,1.28567,0.49219,1.13447,0.000639518,0.000639518,0.000639518
19,1471.39,1.18504,0.51484,1.15315,0.97814,0.99213,0.98782,0.64948,1.29406,0.482,1.13188,0.00034227,0.00034227,0.00034227
20,1544.47,1.17691,0.50827,1.15022,0.97815,0.99285,0.98809,0.65348,1.27496,0.47748,1.12895,0.000160943,0.000160943,0.000160943
