epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.008,1.47022,1.34393,0.00842,0.81206,0.78601,0.8394,0.48073,1.474,0.93762,0.0111,0.0033301,0.0033301,0.0700291
2,966.385,1.43558,1.00123,0.00813,0.86519,0.80346,0.88094,0.58891,1.26832,0.95523,0.0099,0.00662282,0.00662282,0.0399885
3,1417.61,1.35942,0.85935,0.00757,0.87903,0.80248,0.87952,0.4695,1.56529,0.83602,0.01066,0.00975457,0.00975457,0.00978693
4,1859.84,1.26943,0.77728,0.00692,0.88737,0.88614,0.93509,0.61317,1.25117,0.57797,0.00814,0.00946048,0.00946048,0.00946048
5,2311.91,1.22339,0.70333,0.0067,0.91592,0.88146,0.94636,0.61624,1.27517,0.53958,0.00833,0.00905463,0.00905463,0.00905463
6,2760.31,1.17418,0.65739,0.0063,0.92479,0.89822,0.9562,0.67192,1.13413,0.46345,0.0073,0.00855018,0.00855018,0.00855018
7,3218.47,1.14522,0.62897,0.00616,0.93515,0.91368,0.96342,0.68866,1.08076,0.43848,0.00738,0.00795954,0.00795954,0.00795954
8,3669.01,1.11787,0.6001,0.00592,0.9343,0.92628,0.96693,0.70273,1.03718,0.42262,0.00666,0.00729725,0.00729725,0.00729725
9,4119.62,1.09511,0.5772,0.00579,0.9412,0.92871,0.96887,0.70809,1.04705,0.41627,0.00699,0.00657963,0.00657963,0.00657963
10,4568.25,1.06431,0.54509,0.0056,0.94828,0.92901,0.97324,0.75053,0.9026,0.36914,0.00566,0.00582435,0.00582435,0.00582435
11,5016.5,1.0356,0.52693,0.0054,0.96084,0.92697,0.97468,0.75133,0.91166,0.35613,0.0059,0.00505,0.00505,0.00505
12,5465.21,1.013,0.50736,0.00519,0.95396,0.9331,0.97745,0.75045,0.92503,0.35085,0.00584,0.00427565,0.00427565,0.00427565
13,5916.73,0.98767,0.493,0.00509,0.9533,0.94148,0.97862,0.75876,0.88916,0.33231,0.00572,0.00352037,0.00352037,0.00352037
14,6370.84,0.9704,0.47938,0.00506,0.96362,0.9368,0.98019,0.76896,0.85984,0.32689,0.00564,0.00280275,0.00280275,0.00280275
15,6824.98,0.94538,0.46201,0.00485,0.95581,0.94661,0.98098,0.7795,0.82288,0.3199,0.00509,0.00214046,0.00214046,0.00214046
16,7275.54,0.92742,0.446,0.00475,0.95735,0.95395,0.98204,0.78672,0.81744,0.30054,0.00505,0.00154982,0.00154982,0.00154982
17,7721.72,0.90957,0.43277,0.00464,0.9636,0.9542,0.98313,0.78894,0.81889,0.29672,0.00523,0.00104537,0.00104537,0.00104537
18,8174.72,0.89667,0.43079,0.00456,0.96601,0.95464,0.98318,0.78724,0.82425,0.29909,0.0051,0.000639518,0.000639518,0.000639518
19,8622.78,0.88248,0.42053,0.00455,0.96318,0.95843,0.98378,0.79257,0.80576,0.29479,0.00501,0.00034227,0.00034227,0.00034227
20,9067.61,0.78318,0.32332,0.00424,0.96447,0.95322,0.98361,0.79113,0.81528,0.29652,0.00506,0.000160943,0.000160943,0.000160943
